searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Viola palmata triloba,5331373,Viola palmata triloba,<i>Viola</i> <i>palmata</i> var. <i>triloba</i> (Schwein.) Ging. ex DC.,VARIETY,Violaceae,6631,Viola,2874237,Viola palmata,5331370,85,EXACT
Wisteria × formosa,2960222,Wisteria formosa,<i>Wisteria</i> × <i>formosa</i> Rehder,SPECIES,Fabaceae,5386,Wisteria,2977309,Wisteria formosa,2960222,100,EXACT
Allium peninsulare,2856390,Allium peninsulare,<i>Allium</i> <i>peninsulare</i> Lemmon ex Greene,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium peninsulare,2856390,99,EXACT
Sanicula bipinnatifida,7839339,Sanicula bipinnatifida,<i>Sanicula</i> <i>bipinnatifida</i> Douglas,SPECIES,Apiaceae,6720,Sanicula,3034831,Sanicula bipinnatifida,7839339,99,EXACT
Ceanothus tomentosus,3039360,Ceanothus tomentosus,<i>Ceanothus</i> <i>tomentosus</i> Parry,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus tomentosus,3039360,100,EXACT
Typha domingensis,5289534,Typha domingensis,<i>Typha</i> <i>domingensis</i> Pers.,SPECIES,Typhaceae,4246,Typha,2702102,Typha domingensis,5289534,99,EXACT
Pinus remota,5285086,Pinus remota,<i>Pinus</i> <i>remota</i> (Little) D.K.Bailey & Hawksw.,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus remota,5285086,100,EXACT
Tradescantia pedicellata,2765247,Tradescantia pedicellata,<i>Tradescantia</i> <i>pedicellata</i> Celarier,SPECIES,Commelinaceae,2763195,Tradescantia,2765096,Tradescantia pedicellata,2765247,100,EXACT
Sorbus californica,3012369,Sorbus californica,<i>Sorbus</i> <i>californica</i> Greene,SPECIES,Rosaceae,5015,Sorbus,3012146,Sorbus californica,3012369,100,EXACT
Ribes viburnifolium,2986110,Ribes viburnifolium,<i>Ribes</i> <i>viburnifolium</i> A.Gray,SPECIES,Grossulariaceae,2403,Ribes,2986095,Ribes viburnifolium,2986110,100,EXACT
Ribes inerme inerme,7219279,Ribes inerme inerme,<i>Ribes</i> <i>inerme</i> var. <i>inerme</i>,VARIETY,Grossulariaceae,2403,Ribes,2986095,Ribes inerme,2986112,88,EXACT
Amphicarpaea bracteata comosa,7427412,Amphicarpaea bracteata comosa,<i>Amphicarpaea</i> <i>bracteata</i> var. <i>comosa</i> (L.) C.F.Reed,VARIETY,Fabaceae,5386,Amphicarpaea,2960157,Amphicarpaea bracteata,2960161,85,EXACT
Ceanothus crassifolius planus,3039309,Ceanothus crassifolius planus,<i>Ceanothus</i> <i>crassifolius</i> var. <i>planus</i> Abrams,VARIETY,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus crassifolius,3039308,88,EXACT
Rubus superioris,2989757,Rubus superioris,<i>Rubus</i> <i>superioris</i> L.H.Bailey,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus vermontanus,2989749,100,EXACT
Tradescantia wrightii,2765268,Tradescantia wrightii,<i>Tradescantia</i> <i>wrightii</i> Rose & Bush,SPECIES,Commelinaceae,2763195,Tradescantia,2765096,Tradescantia wrightii,2765268,100,EXACT
Camassia quamash walpolei,2769109,Camassia quamash walpolei,<i>Camassia</i> <i>quamash</i> subsp. <i>walpolei</i> (Piper) Gould,SUBSPECIES,Asparagaceae,7683,Camassia,2769068,Camassia quamash,2769084,88,EXACT
Lilium pensylvanicum,2753465,Lilium pensylvanicum,<i>Lilium</i> <i>pensylvanicum</i> Ker Gawl.,SPECIES,Liliaceae,7699,Lilium,2752977,Lilium pensylvanicum,2753465,99,EXACT
Pinus lambertiana,5284989,Pinus lambertiana,<i>Pinus</i> <i>lambertiana</i> Douglas,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus lambertiana,5284989,99,EXACT
Vaccinium myrtilloides,2882880,Vaccinium myrtilloides,<i>Vaccinium</i> <i>myrtilloides</i> Michx.,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium myrtilloides,2882880,99,EXACT
Vaccinium parvifolium,2882910,Vaccinium parvifolium,<i>Vaccinium</i> <i>parvifolium</i> Sm.,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium parvifolium,2882910,100,EXACT
Pinus taeda,5285241,Pinus taeda,<i>Pinus</i> <i>taeda</i> L.,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus taeda,5285241,99,EXACT
Vicia benghalensis,2975384,Vicia benghalensis,<i>Vicia</i> <i>benghalensis</i> L.,SPECIES,Fabaceae,5386,Vicia,2974751,Vicia benghalensis,2975384,99,EXACT
Viola walteri,5331182,Viola walteri,<i>Viola</i> <i>walteri</i> House,SPECIES,Violaceae,6631,Viola,2874237,Viola walteri,5331182,100,EXACT
Primula utahensis,5641386,Primula utahensis,<i>Primula</i> <i>utahensis</i> (N.H.Holmgren) A.R.Mast & Reveal,SPECIES,Primulaceae,6674,Dodecatheon,7597718,Dodecatheon utahense,4007823,100,EXACT
Triglochin concinna,2865381,Triglochin concinna,<i>Triglochin</i> <i>concinna</i> Burtt Davy,SPECIES,Juncaginaceae,7679,Triglochin,2777072,Triglochin maritima,2865368,100,EXACT
Quercus vaseyana,2879249,Quercus vaseyana,<i>Quercus</i> <i>vaseyana</i> Buckley,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus vaseyana,2879249,100,EXACT
Crataegus turnerorum,3016098,Crataegus turnerorum,<i>Crataegus</i> <i>turnerorum</i> Enquist,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus turnerorum,3016098,100,EXACT
Pinus ponderosa washoensis,8105740,Pinus ponderosa washoensis,<i>Pinus</i> <i>ponderosa</i> subsp. <i>washoensis</i> (Mason & Stockw.) E.Murray,SUBSPECIES,Pinaceae,3925,Pinus,2684241,Pinus ponderosa,5285053,84,EXACT
Rumex obovatus,2888987,Rumex obovatus,<i>Rumex</i> <i>obovatus</i> Danser,SPECIES,Polygonaceae,2416,Rumex,2888942,Rumex obovatus,2888987,100,EXACT
Picea omorika,5284950,Picea omorika,<i>Picea</i> <i>omorika</i> (Pancic) Purk.,SPECIES,Pinaceae,3925,Picea,7606064,Picea omorika,5284950,99,EXACT
Quercus × ganderi,2879537,Quercus ganderi,<i>Quercus</i> × <i>ganderi</i> C.B.Wolf,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus ganderi,2879537,100,EXACT
Ceanothus foliosus,3039336,Ceanothus foliosus,<i>Ceanothus</i> <i>foliosus</i> Parry,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus foliosus,3039336,100,EXACT
Solidago canadensis hargeri,5705607,Solidago canadensis hargeri,<i>Solidago</i> <i>canadensis</i> var. <i>hargeri</i> Fernald,VARIETY,Asteraceae,3065,Solidago,5388868,Solidago canadensis,5389029,88,EXACT
Allium burlewii,2857286,Allium burlewii,<i>Allium</i> <i>burlewii</i> Davidson,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium burlewii,2857286,100,EXACT
Quercus suber,2879411,Quercus suber,<i>Quercus</i> <i>suber</i> L.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus suber,2879411,99,EXACT
Allium fimbriatum purdyi,2856840,Allium fimbriatum purdyi,<i>Allium</i> <i>fimbriatum</i> var. <i>purdyi</i> (Eastw.) Ownbey ex McNeal,VARIETY,Amaryllidaceae,7682,Allium,9624496,Allium fimbriatum,2856831,85,EXACT
Mentha spicata spicata,4925757,Mentha spicata spicata,<i>Mentha</i> <i>spicata</i> var. <i>spicata</i>,VARIETY,Lamiaceae,2497,Mentha,2927173,Mentha spicata,2927175,85,EXACT
Crataegus alabamensis,3013743,Crataegus alabamensis,<i>Crataegus</i> <i>alabamensis</i> Beadle,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus alabamensis,3013743,100,EXACT
Primula conjugens conjugens,7127735,Primula conjugens conjugens,<i>Primula</i> <i>conjugens</i> var. <i>conjugens</i>,VARIETY,Primulaceae,6674,Dodecatheon,7597718,Dodecatheon conjugens,3169254,84,EXACT
