searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Chaerophyllum tainturieri dasycarpum,8689166,Chaerophyllum tainturieri dasycarpum,"<i>Chaerophyllum</i> <i>tainturieri</i> var. <i>dasycarpum</i> (J.M.Coult. & Rose) J.M.Coult. & Rose, 1900",VARIETY,Apiaceae,6720.0,Chaerophyllum,3034649.0,Chaerophyllum tainturieri,3034651.0,85,EXACT,3,3,Chaerophyllum tainturieri dasycarpum,Chaerophyllum,Chaerophyllum,Chaerophyllum
Viola arvensis arvensis,7296251,Viola arvensis arvensis,<i>Viola</i> <i>arvensis</i> subsp. <i>arvensis</i>,SUBSPECIES,Violaceae,6631.0,Viola,2874237.0,Viola arvensis,5331235.0,85,EXACT,3,3,Viola arvensis arvensis,Viola,Viola,Viola
Ribes mescalerium,2986158,Ribes mescalerium,<i>Ribes</i> <i>mescalerium</i> Coville,SPECIES,Grossulariaceae,2403.0,Ribes,2986095.0,Ribes mescalerium,2986158.0,100,EXACT,2,2,Ribes mescalerium,Ribes,Ribes,Ribes
Quercus × filialis,2878410,Quercus filialis,<i>Quercus</i> × <i>filialis</i> Little,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus filialis,2878410.0,100,EXACT,3,2,Quercus filialis,Quercus,Quercus,Quercus
Erythronium umbilicatum,2752903,Erythronium umbilicatum,<i>Erythronium</i> <i>umbilicatum</i> C.R.Parks & Hardin,SPECIES,Liliaceae,7699.0,Erythronium,2740136.0,Erythronium umbilicatum,2752903.0,100,EXACT,2,2,Erythronium umbilicatum,Erythronium,Erythronium,Erythronium
Ribes laxiflorum,2986150,Ribes laxiflorum,<i>Ribes</i> <i>laxiflorum</i> Pursh,SPECIES,Grossulariaceae,2403.0,Ribes,2986095.0,Ribes laxiflorum,2986150.0,99,EXACT,2,2,Ribes laxiflorum,Ribes,Ribes,Ribes
Quercus falcata,2880967,Quercus falcata,<i>Quercus</i> <i>falcata</i> Michx.,SPECIES,Fagaceae,4689.0,Quercus,2877951.0,Quercus falcata,2880967.0,100,EXACT,2,2,Quercus falcata,Quercus,Quercus,Quercus
Rumex dentatus,2889038,Rumex dentatus,<i>Rumex</i> <i>dentatus</i> L.,SPECIES,Polygonaceae,2416.0,Rumex,2888942.0,Rumex dentatus,2889038.0,99,EXACT,2,2,Rumex dentatus,Rumex,Rumex,Rumex
Cirsium clokeyi,3113220,Cirsium clokeyi,<i>Cirsium</i> <i>clokeyi</i> S.F.Blake,SPECIES,Asteraceae,3065.0,Cirsium,3112554.0,Cirsium eatonii,3113381.0,100,EXACT,2,2,Cirsium clokeyi,Cirsium,Cirsium,Cirsium
Pedicularis canadensis canadensis,3171675,Pedicularis canadensis canadensis,<i>Pedicularis</i> <i>canadensis</i> var. <i>canadensis</i>,VARIETY,Orobanchaceae,6651.0,Pedicularis,3171670.0,Pedicularis canadensis,3171674.0,84,EXACT,3,3,Pedicularis canadensis canadensis,Pedicularis,Pedicularis,Pedicularis
