searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Gaultheria hispidula,2882756,Gaultheria hispidula,<i>Gaultheria</i> <i>hispidula</i> (L.) Muhl. ex Bigelow,SPECIES,Ericaceae,2505,Gaultheria,2882751,Gaultheria hispidula,2882756,99,EXACT
Vaccinium,2882813,Vaccinium,<i>Vaccinium</i> L.,GENUS,Ericaceae,2505,Vaccinium,2882813,,,80,HIGHERRANK
Vaccinium macrocarpon,2882841,Vaccinium macrocarpon,<i>Vaccinium</i> <i>macrocarpon</i> Aiton,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium macrocarpon,2882841,100,EXACT
Vaccinium oxycoccus,2882949,Vaccinium oxycoccus,<i>Vaccinium</i> <i>oxycoccus</i> L.,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium oxycoccos,2882940,99,EXACT
Vaccinium vitis-idaea,2882835,Vaccinium vitis-idaea,<i>Vaccinium</i> <i>vitis-idaea</i> L.,SPECIES,Ericaceae,2505,Vaccinium,2882813,Vaccinium vitis-idaea,2882835,100,EXACT
Gaultheria procumbens,2882753,Gaultheria procumbens,<i>Gaultheria</i> <i>procumbens</i> L.,SPECIES,Ericaceae,2505,Gaultheria,2882751,Gaultheria procumbens,2882753,100,EXACT
Arctostaphylos uva-ursi,2882580,Arctostaphylos uva-ursi,<i>Arctostaphylos</i> <i>uva-ursi</i> (L.) Spreng.,SPECIES,Ericaceae,2505,Arctostaphylos,2882486,Arctostaphylos uva-ursi,2882580,100,EXACT
Arctous rubra,2882597,Arctous rubra,<i>Arctous</i> <i>rubra</i> (Rehder & E.H.Wilson) Nakai,SPECIES,Ericaceae,2505,Arctostaphylos,2882486,Arctostaphylos rubra,2882596,100,EXACT
Arctous alpina,2882527,Arctous alpina,<i>Arctous</i> <i>alpina</i> (L.) Nied.,SPECIES,Ericaceae,2505,Arctostaphylos,2882486,Arctostaphylos alpinus,8317978,100,EXACT
Sambucus racemosa,2888723,Sambucus racemosa,<i>Sambucus</i> <i>racemosa</i> L.,SPECIES,Viburnaceae,4924416,Sambucus,2888721,Sambucus racemosa,2888723,99,EXACT
Shepherdia argentea,5372429,Shepherdia argentea,<i>Shepherdia</i> <i>argentea</i> (Pursh) Nutt.,SPECIES,Elaeagnaceae,2408,Shepherdia,3039276,Shepherdia argentea,5372429,99,EXACT
Shepherdia canadensis,5372427,Shepherdia canadensis,<i>Shepherdia</i> <i>canadensis</i> (L.) Nutt.,SPECIES,Elaeagnaceae,2408,Shepherdia,3039276,Shepherdia canadensis,5372427,100,EXACT
Elaeagnus umbellata,3039267,Elaeagnus umbellata,<i>Elaeagnus</i> <i>umbellata</i> Thunb.,SPECIES,Elaeagnaceae,2408,Elaeagnus,3039266,Elaeagnus umbellata,3039267,99,EXACT
Vaccinium trilobum,2882813,Vaccinium,<i>Vaccinium</i> L.,GENUS,Ericaceae,2505,Vaccinium,2882813,,,96,HIGHERRANK
Viburnum edule,2888613,Viburnum edule,<i>Viburnum</i> <i>edule</i> (Michx.) Raf.,SPECIES,Viburnaceae,4924416,Viburnum,2888580,Viburnum edule,2888613,100,EXACT
Mahonia trifoliata,6673,Berberidaceae,<i>Berberidaceae</i>,FAMILY,Berberidaceae,6673,,,,,99,HIGHERRANK
