searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Prunus avium,3020791,Prunus avium,<i>Prunus</i> <i>avium</i> (L.) L.,SPECIES,Rosaceae,5015.0,Prunus,3020559.0,Prunus avium,3020791.0,99,EXACT,2,2,Prunus avium,Prunus,Prunus,Prunus
Elaeagnus angustifolia,3039269,Elaeagnus angustifolia,<i>Elaeagnus</i> <i>angustifolia</i> L.,SPECIES,Elaeagnaceae,2408.0,Elaeagnus,3039266.0,Elaeagnus angustifolia,3039269.0,99,EXACT,2,2,Elaeagnus angustifolia,Elaeagnus,Elaeagnus,Elaeagnus
Cornus mas,3082263,Cornus mas,<i>Cornus</i> <i>mas</i> L.,SPECIES,Cornaceae,6713.0,Cornus,3082226.0,Cornus mas,3082263.0,100,EXACT,2,2,Cornus mas,Cornus,Cornus,Cornus
Sassafras albidum,3034002,Sassafras albidum,<i>Sassafras</i> <i>albidum</i> (Nutt.) Nees,SPECIES,Lauraceae,6688.0,Sassafras,8099774.0,Sassafras albidum,3034002.0,100,EXACT,2,2,Sassafras albidum,Sassafras,Sassafras,Sassafras
Sideroxylon lanuginosum,2887069,Sideroxylon lanuginosum,<i>Sideroxylon</i> <i>lanuginosum</i> Michx.,SPECIES,Sapotaceae,8802.0,Sideroxylon,2886817.0,Sideroxylon lanuginosum,2887069.0,100,EXACT,2,2,Sideroxylon lanuginosum,Sideroxylon,Sideroxylon,Sideroxylon
Amelanchier,3023817,Amelanchier,<i>Amelanchier</i> Medik.,GENUS,Rosaceae,5015.0,Amelanchier,3023817.0,,,80,HIGHERRANK,1,1,Amelanchier,Amelanchier,Amelanchier,Amelanchier
Crataegus,3013395,Crataegus,<i>Crataegus</i> L.,GENUS,Rosaceae,5015.0,Crataegus,3013395.0,,,80,HIGHERRANK,1,1,Crataegus,Crataegus,Crataegus,Crataegus
Cercis canadensis,5353583,Cercis canadensis,<i>Cercis</i> <i>canadensis</i> L.,SPECIES,Fabaceae,5386.0,Cercis,2955919.0,Cercis canadensis,5353583.0,99,EXACT,2,2,Cercis canadensis,Cercis,Cercis,Cercis
Gymnocladus dioicus,2944215,Gymnocladus dioicus,<i>Gymnocladus</i> <i>dioicus</i> (L.) K.Koch,SPECIES,Fabaceae,5386.0,Gymnocladus,2944210.0,Gymnocladus dioicus,2944215.0,100,EXACT,2,2,Gymnocladus dioicus,Gymnocladus,Gymnocladus,Gymnocladus
Prosopis glandulosa,5358457,Prosopis glandulosa,<i>Prosopis</i> <i>glandulosa</i> Torr.,SPECIES,Fabaceae,5386.0,Prosopis,2970763.0,Prosopis glandulosa,5358457.0,100,EXACT,2,2,Prosopis glandulosa,Prosopis,Prosopis,Prosopis
