searchedName,canonicalName,scientificName,rank,usageKey,match_confidence,matchType
Arundinaria gigantea,Arundinaria gigantea,Arundinaria gigantea (Walter) Muhl.,SPECIES,2705964,99,EXACT
Acorus calamus,Acorus calamus,Acorus calamus L.,SPECIES,2873769,100,EXACT
Phragmites communis,Phragmites communis,Phragmites communis Trin.,SPECIES,5290153,100,EXACT
Oryzopsis hymenoides,Oryzopsis hymenoides,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,SPECIES,2703429,99,EXACT
Phalaris caroliniana,Phalaris caroliniana,Phalaris caroliniana Walter,SPECIES,5289760,100,EXACT
Hordeum pusillum,Hordeum pusillum,Hordeum pusillum Nutt.,SPECIES,2706070,100,EXACT
Liatris punctata,Liatris punctata,Liatris punctata Hook.,SPECIES,3104349,100,EXACT
Plantago maritima,Plantago maritima,Plantago maritima L.,SPECIES,3189755,99,EXACT
Yucca,Yucca,Yucca L.,GENUS,2775496,80,HIGHERRANK
Nothoscordum bivalve,Nothoscordum bivalve,Nothoscordum bivalve (L.) Britton,SPECIES,2855600,100,EXACT
Triglochin maritima,Triglochin maritima,Triglochin maritima L.,SPECIES,2865368,99,EXACT
Muscari,Muscari,Muscari Mill.,GENUS,2772004,80,HIGHERRANK
Camassia,Camassia,Camassia Lindl.,GENUS,2769068,80,HIGHERRANK
Camassia angusta,Camassia angusta,Camassia angusta (Engelm. & A.Gray) Blank.,SPECIES,2769080,100,EXACT
Aplectrum hyemale,Aplectrum hyemale,Aplectrum hyemale (Muhl. ex Willd.) Torr.,SPECIES,7585836,99,EXACT
Tipularia discolor,Tipularia discolor,Tipularia discolor (Pursh) Nutt.,SPECIES,5308378,100,EXACT
Asarum canadense,Asarum canadense,Asarum canadense L.,SPECIES,2873947,100,EXACT
Erythronium,Erythronium,Erythronium L.,GENUS,2740136,80,HIGHERRANK
Clintonia borealis,Clintonia borealis,Clintonia borealis (Aiton) Raf.,SPECIES,2753574,100,EXACT
Symplocarpus foetidus,Symplocarpus foetidus,Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton,SPECIES,2870117,99,EXACT
Oxyria digyna,Oxyria digyna,Oxyria digyna (L.) Hill,SPECIES,2889358,100,EXACT
Dodecatheon,Dodecatheon,Dodecatheon L.,GENUS,7597718,80,HIGHERRANK
Plantago major,Plantago major,Plantago major L.,SPECIES,3189767,99,EXACT
Plantago rugelii,Plantago rugelii,Plantago rugelii Decne.,SPECIES,3189781,100,EXACT
Plantago lanceolata,Plantago lanceolata,Plantago lanceolata L.,SPECIES,8208358,99,EXACT
Viola sororia,Viola sororia,Viola sororia Willd.,SPECIES,5331238,100,EXACT
Viola sagittata,Viola sagittata,Viola sagittata Aiton,SPECIES,5331364,100,EXACT
Viola pedata,Viola pedata,Viola pedata L.,SPECIES,5331278,100,EXACT
Taraxacum officinale,Taraxacum officinale,Taraxacum officinale Weber ex F.H.Wigg.,SPECIES,5394163,99,EXACT
Krigia dandelion,Krigia dandelion,Krigia dandelion (L.) Nutt.,SPECIES,3132416,100,EXACT
Pyrrhopappus grandiflorus,Pyrrhopappus grandiflorus,Pyrrhopappus grandiflorus (Nutt.) Nutt.,SPECIES,3145231,100,EXACT
Hypochaeris radicata,Hypochaeris radicata,Hypochaeris radicata L.,SPECIES,3093702,100,EXACT
Leontodon autumnalis,Leontodon autumnalis,"Leontodon autumnalis Oeder, 1816",SPECIES,8058115,99,EXACT
Oenothera caespitosa,Onagraceae,Onagraceae,FAMILY,2430,99,HIGHERRANK
Bellis perennis,Bellis perennis,Bellis perennis L.,SPECIES,3117424,100,EXACT
Saxifraga pensylvanica,Saxifraga pensylvanica,Saxifraga pensylvanica L.,SPECIES,3032700,100,EXACT
Saxifraga micranthidifolia,Saxifraga micranthidifolia,Saxifraga micranthidifolia (Haw.) Steud.,SPECIES,3032853,99,EXACT
Tussilago farfara,Tussilago farfara,Tussilago farfara L.,SPECIES,3149879,100,EXACT
Petasites frigidus,Petasites frigidus,Petasites frigidus (L.) Fr.,SPECIES,3088323,100,EXACT
Hydrocotyle bonariensis,Hydrocotyle bonariensis,Hydrocotyle bonariensis Comm. ex Lam.,SPECIES,3034611,99,EXACT
Centella erecta,Centella erecta,Centella erecta (L.fil.) Fernald,SPECIES,8598241,100,EXACT
Aralia nudicaulis,Aralia nudicaulis,Aralia nudicaulis L.,SPECIES,3037021,99,EXACT
Trifolium repens,Trifolium repens,Trifolium repens L.,SPECIES,5358748,99,EXACT
Lomatium foeniculaceum,Lomatium foeniculaceum,Lomatium foeniculaceum (Nutt.) J.M.Coult. & Rose,SPECIES,3034267,100,EXACT
Musineon tenuifolium,Musineon tenuifolium,Musineon tenuifolium Nutt.,SPECIES,7658142,99,EXACT
Cymopterus acaulis,Cymopterus acaulis,Cymopterus acaulis Raf.,SPECIES,3034473,99,EXACT
Cymopterus montanus,Cymopterus montanus,Cymopterus montanus Nutt.,SPECIES,7911387,99,EXACT
Potentilla anserina,Potentilla anserina,Potentilla anserina L.,SPECIES,5366829,99,EXACT
Fragaria,Fragaria,Fragaria L.,GENUS,3029779,80,HIGHERRANK
Fragaria virginiana,Fragaria virginiana,Fragaria virginiana Duchesne,SPECIES,7950792,99,EXACT
Fragaria vesca,Fragaria vesca,Fragaria vesca L.,SPECIES,3029817,99,EXACT
Oxalis violacea,Oxalis violacea,Oxalis violacea L.,SPECIES,2891708,99,EXACT
Pediomelum hypogaeum,Pediomelum hypogaeum,Pediomelum hypogaeum (Nutt.) Rydb.,SPECIES,2944196,100,EXACT
Pediomelum subacaule,Pediomelum subacaule,Pediomelum subacaule (Torr. & A.Gray) Rydb.,SPECIES,2959964,100,EXACT
Anemonella thalictroides,Anemonella thalictroides,Anemonella thalictroides (L.) Spach,SPECIES,3033115,99,EXACT
Mollugo verticillata,Mollugo verticillata,Mollugo verticillata L.,SPECIES,3084611,99,EXACT
Krigia caespitosa,Krigia caespitosa,Krigia caespitosa (Raf.) K.L.Chambers,SPECIES,4273501,100,EXACT
Salvia lyrata,Salvia lyrata,Salvia lyrata L.,SPECIES,2927027,100,EXACT
Silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum L.,SPECIES,3092576,100,EXACT
